elevation,slope,aspect,tpi,ndvi,ndmi,ndwi,mndwi,ndfi,evi,ibi,ndbi,ui,mvi,nbr,savi,evi2,bui,kndvi
618,2,0,-3,6924,2025,-5627,-4055,7120,4327,9789,-2025,-4519,1925,4519,4004,3934,-8447,2876
727,10,73,33,5735,847,-5551,-4936,4214,3317,66,-847,-3782,1281,3782,3279,3154,-8170,1926
610,4,166,2,6811,1132,-5981,-5197,5269,3736,502,-1132,-3273,1404,3273,3604,3486,-8433,2166
623,1,180,-1,5960,1350,-5536,-4523,5370,3556,4247,-1350,-4071,1502,4071,3436,3321,-7891,2130
722,5,135,22,7600,2412,-6488,-4833,8298,4729,7978,-2412,-5749,1978,5749,4287,4235,-10230,3167
592,2,333,-6,8094,3115,-7224,-5304,9333,5225,8358,-3115,-6329,2307,6329,4746,4762,-10663,3991
680,3,288,6,6067,1279,-5360,-4381,6314,3479,3382,-1279,-4201,1483,4201,3122,2971,-8279,1557
668,2,64,7,5344,1183,-4976,-4029,6020,3026,3151,-1183,-4002,1470,4002,2819,2665,-7398,1307
611,7,300,-1,7851,2537,-6790,-5136,8395,4866,7627,-2537,-5714,2009,5714,4441,4408,-10352,3399
522,2,0,2,5970,791,-5658,-5095,5016,3010,-1514,-791,-3827,1254,3827,2951,2789,-8566,1338
659,4,225,0,7625,2647,-7036,-5387,8681,4126,5915,-2647,-5670,2039,5670,4046,3956,-9793,2667
685,4,27,10,6100,1151,-5586,-4739,5092,3357,2199,-1151,-3364,1406,3364,3278,3141,-7631,1798
687,2,333,-1,6617,680,-5633,-5150,4188,3808,-1053,-680,-3358,1218,3358,3573,3453,-8969,2139
589,12,341,29,6847,1395,-6246,-5322,6490,3545,1639,-1395,-4514,1474,4514,3393,3247,-9385,1782
680,7,150,-2,7163,1874,-6540,-5317,7024,4230,4312,-1874,-4835,1688,4835,3947,3859,-9387,2653
627,6,116,-7,7894,2896,-6982,-5129,9003,4552,7243,-2896,-5976,2211,5976,4224,4156,-10244,2935
727,10,304,14,7737,2385,-6658,-5074,8263,4347,6508,-2385,-5370,1946,5370,4043,3949,-9977,2618
538,6,189,-14,7731,2652,-7091,-5471,8697,4327,5924,-2652,-5801,2024,5801,4116,4034,-10117,2771
568,3,18,-7,7851,2622,-6783,-5058,8649,4752,7608,-2622,-5763,2069,5763,4334,4280,-10280,3155
565,3,342,10,4267,-88,-5369,-5447,298,2307,-14117,88,-1843,986,1843,2425,2288,-6299,1119
701,3,90,1,7132,2339,-6387,-4761,7943,4323,7305,-2339,-5234,1948,5234,4029,3953,-9055,2825
680,2,180,-6,5034,-275,-5279,-5477,600,2915,-16185,275,-2140,925,2140,2820,2677,-7640,1409
658,1,90,-7,6476,1236,-5825,-4942,5473,3549,2167,-1236,-3514,1435,3514,3415,3281,-8079,1908
527,6,72,0,7009,1971,-6347,-5003,7416,3966,5082,-1971,-4901,1737,4901,3720,3605,-9096,2270
516,5,79,3,7859,2289,-6788,-5327,7848,5083,7417,-2289,-5582,1861,5582,4656,4665,-10572,3902
671,6,72,18,7650,2691,-6821,-5057,8708,4226,6644,-2691,-5591,2102,5591,3978,3877,-9660,2528
571,5,31,3,8776,3547,-7926,-6090,9940,6137,8405,-3547,-6846,2459,6846,5471,5629,-11949,5433
630,0,0,-6,6399,1142,-5697,-4872,5153,3785,2829,-1142,-3956,1396,3956,3609,3501,-8628,2290
597,2,27,-6,8025,3010,-7090,-5178,9184,4984,8070,-3010,-6223,2285,6223,4554,4536,-10557,3585
619,6,321,-9,6664,1612,-6122,-5006,6548,3711,3692,-1612,-4629,1582,4629,3566,3445,-8937,2121
555,4,284,7,7970,3116,-7173,-5220,9332,4757,7509,-3116,-6329,2337,6329,4349,4296,-10456,3148
658,4,45,-2,6338,1460,-5235,-4088,5799,3776,6588,-1460,-3790,1590,3790,3487,3365,-7842,2076
683,5,323,12,5886,707,-5407,-4884,3744,3439,-986,-707,-3396,1242,3396,3333,3211,-8180,1998
673,1,135,6,7181,1247,-6283,-5470,6161,3952,1847,-1247,-4669,1405,4669,3777,3665,-10160,2317
591,7,320,12,8744,3556,-7848,-5955,9944,6024,8428,-3556,-6863,2480,6863,5351,5480,-11905,5140
561,6,72,-7,8310,3092,-7448,-5658,9251,5489,8067,-3092,-6311,2255,6311,5006,5072,-11034,4516
639,7,164,-2,7739,2778,-6881,-5076,8669,4877,8062,-2778,-5920,2149,5920,4493,4475,-10077,3581
627,4,244,-6,4653,-241,-4813,-4999,141,2398,-18101,241,-1546,941,1546,2420,2267,-6650,982
491,2,153,-8,6664,890,-5732,-5103,5074,3840,305,-890,-4009,1290,4009,3442,3304,-9374,1893
599,3,225,-3,8091,3495,-7067,-4737,9647,5627,10601,-3495,-6416,2693,6416,4946,5006,-10168,4498
539,1,225,-7,7418,2808,-6261,-4198,9121,4666,9924,-2808,-5829,2324,5829,4161,4095,-9446,2977
627,4,315,17,7296,2254,-6512,-4983,7799,4524,6632,-2254,-5202,1889,5202,4078,4003,-9368,2860
564,2,244,13,6602,2075,-6007,-4492,7021,4003,7049,-2075,-4478,1846,4478,3776,3682,-7898,2534
574,6,198,-15,7787,2732,-6822,-5025,8778,4537,7472,-2732,-5744,2131,5744,4227,4159,-9992,2966
718,5,149,-1,5883,1226,-4944,-3958,5429,3576,5179,-1226,-3429,1493,3429,3176,3036,-7318,1694
584,1,90,-13,7943,2876,-7173,-5414,8860,5132,7811,-2876,-5945,2153,5945,4707,4721,-10273,3977
689,3,304,-6,6340,1140,-5451,-4602,5221,3634,1581,-1140,-3737,1441,3737,3370,3241,-8406,1907
650,0,0,1,7744,2871,-6728,-4778,8890,4894,8926,-2871,-5921,2255,5921,4457,4431,-9942,3487
562,8,167,2,6842,2311,-6501,-4962,7226,4566,6643,-2311,-4748,1935,4748,4190,4172,-8293,3453
649,3,341,13,4627,192,-4931,-4788,1481,2451,-7898,-192,-2046,1066,2046,2483,2333,-6354,1064
593,4,153,18,7245,1728,-6214,-5027,6918,4269,5291,-1728,-5032,1626,5032,3960,3871,-9934,2641
