Parcelle;Recouvrements;Cuivre;Zinc;Arsenic;Plomb;id;Distance_smelter;NDVI;Slope;TWI;Geology
P54;Roche nue rugueuse;921,50;538,05;691,55;2090,40;54;5846,591939;0,133065805;14,03624344;1;Siliciclastic sedimentary rocks
P55;Roche nue lisse noire;744,05;468,25;697,40;2133,75;55;5191,011178;0,088733301;21,56812859;1;Mafic volcanic rocks
P56;Roche nue rugueuse;847,75;773,38;342,69;1124,56;56;3402,479965;0,186248884;10,02498817;3;Mafic volcanic rocks
P57;Roche nue lisse noire;992,88;712,06;328,44;1102,44;57;3815,136454;0,177628517;0;1;Mafic volcanic rocks
P58;Roche nue lisse noire;736,94;501,69;345,00;1020,75;58;3891,807107;0,241608024;19,47122002;2;Mafic volcanic rocks
P59;Roche colonisee par le lichen;1087,95;785,90;312,35;819,80;59;4263,755774;0,204534158;0;1;Mafic volcanic rocks
P60;Roche colonisee par le lichen;681,60;489,55;230,70;857,95;60;4418,173869;0,190579668;21,56812859;0;Mafic volcanic rocks
P61;Roche nue rugueuse;520,81;559,63;322,50;1379,69;61;3480,44514;0,180436179;0;2;Mafic volcanic rocks
P62;Roche nue rugueuse;670,00;591,88;414,00;1700,50;62;3879,804605;0,214265242;0;6;Mafic volcanic rocks
P63;Roche nue rugueuse;469,69;386,78;288,50;1349,84;63;3837,902508;0,177481607;10,02498817;4;Mafic volcanic rocks
P64;Roche nue lisse noire;672,60;446,75;342,85;749,35;64;6978,418836;0,12880975;10,02498817;0;Mafic volcanic rocks
P65;Roche colonisee par le lichen;580,05;330,90;188,35;392,90;65;7011,141274;0,155872807;0;1;Mafic volcanic rocks
P66;Roche colonisee par le lichen;683,10;443,40;329,50;694,30;66;7112,345973;0,138688073;0;1;Mafic volcanic rocks
P67;Roche colonisee par le lichen;410,55;315,45;273,25;884,10;67;7007,374975;0,204177931;0;2;Mafic volcanic rocks
P68;Roche recouverte des elements anthropiques;370,00;245,05;581,70;1603,25;68;7082,338761;0,16638644;0;5;Acid intrusive rocks
P69;Roche colonisee par le lichen;619,75;339,56;283,31;739,19;69;7119,7078;0,183361426;0;5;Acid intrusive rocks
P70;Roche nue rugueuse;793,55;431,90;429,05;604,75;70;7351,462616;0,16189304;0;2;Mafic volcanic rocks
P71;Roche colonisee par le lichen;841,15;460,95;325,25;684,95;71;7246,450275;0,148872539;0;0;Mafic volcanic rocks
